id,name,age,height,weight
1,name_1,61,155.0,158.0
2,name_2,14,166.0,74.0
3,name_3,24,162.0,131.0
4,name_4,94,159.0,212.0
5,name_5,39,194.0,161.0
6,name_6,26,203.0,188.0
7,name_7,55,152.0,156.0
8,name_8,23,195.0,100.0
9,name_9,48,156.0,79.0
10,name_10,81,168.0,59.0
11,name_11,69,206.0,162.0
12,name_12,64,208.0,216.0
13,name_13,13,162.0,204.0
14,name_14,97,155.0,126.0
15,name_15,26,175.0,141.0
16,name_16,61,157.0,199.0
17,name_17,16,190.0,66.0
18,name_18,75,159.0,139.0
19,name_19,40,210.0,212.0
20,name_20,84,164.0,156.0
21,name_21,59,198.0,101.0
22,name_22,38,181.0,150.0
23,name_23,59,204.0,186.0
24,name_24,44,176.0,43.0
25,name_25,81,205.0,67.0
26,name_26,13,194.0,132.0
27,name_27,44,170.0,133.0
28,name_28,65,178.0,132.0
29,name_29,24,163.0,153.0
30,name_30,55,187.0,133.0
31,name_31,79,167.0,60.0
32,name_32,74,162.0,191.0
33,name_33,66,186.0,60.0
34,name_34,78,178.0,41.0
35,name_35,69,165.0,81.0
36,name_36,49,179.0,59.0
37,name_37,17,154.0,58.0
38,name_38,36,159.0,196.0
39,name_39,90,200.0,132.0
40,name_40,14,191.0,84.0
41,name_41,28,166.0,162.0
42,name_42,66,154.0,117.0
43,name_43,97,182.0,176.0
44,name_44,28,192.0,204.0
45,name_45,52,184.0,120.0
46,name_46,58,168.0,201.0
47,name_47,62,162.0,89.0
48,name_48,79,210.0,157.0
49,name_49,36,179.0,131.0
50,name_50,20,152.0,180.0
51,name_51,84,197.0,112.0
52,name_52,72,163.0,45.0
53,name_53,53,167.0,220.0
54,name_54,23,193.0,68.0
55,name_55,65,185.0,58.0
56,name_56,76,172.0,155.0
57,name_57,17,179.0,70.0
58,name_58,46,178.0,65.0
59,name_59,37,153.0,106.0
60,name_60,71,166.0,98.0
61,name_61,82,151.0,157.0
62,name_62,31,163.0,99.0
63,name_63,11,155.0,106.0
